id;gender_type;phone;responsible;created_at;updated_at;created_by;updated_by;avatar;avatar_content_type;last_login
1;FEMALE;(158) 214-7455 x02844;true;2020-12-21T05:24:26;2020-12-21T06:05:44;Refined Metal Bacon deposit;Tuna;../fake-data/blob/hipster.png;image/png;2020-12-21T08:16:00
2;FEMALE;1-656-503-3038 x0152;true;2020-12-21T08:15:54;2020-12-20T22:37:46;compressing;Tunnel moderator;../fake-data/blob/hipster.png;image/png;2020-12-21T06:02:49
3;FEMALE;1-527-820-6071;true;2020-12-20T14:35:23;2020-12-21T07:44:50;COM;Human Licensed Rubber Shoes;../fake-data/blob/hipster.png;image/png;2020-12-20T11:11:19
4;MALE;(486) 907-0963 x350;true;2020-12-21T08:30:22;2020-12-21T04:40:06;fuchsia;UAE Dirham;../fake-data/blob/hipster.png;image/png;2020-12-21T06:23:48
5;FEMALE;(014) 085-8722;true;2020-12-21T05:24:12;2020-12-20T18:49:32;Borders;Avon;../fake-data/blob/hipster.png;image/png;2020-12-21T09:55:57
6;MALE;646.321.4705;false;2020-12-21T00:24:42;2020-12-20T23:47:34;Rustic Metal Bike blue Infrastructure;Toys redefine;../fake-data/blob/hipster.png;image/png;2020-12-21T06:29:37
7;MALE;1-140-642-3741;true;2020-12-21T00:18:26;2020-12-20T21:28:50;Handcrafted Cotton Pants Indiana rich;orange Dam virtual;../fake-data/blob/hipster.png;image/png;2020-12-20T13:34:47
8;FEMALE;221-701-0399 x45758;false;2020-12-21T06:41:33;2020-12-21T01:04:35;Gorgeous Frozen Pizza Personal Loan Account;Cook Islands Tools;../fake-data/blob/hipster.png;image/png;2020-12-21T08:21:45
9;MALE;1-629-657-3668;false;2020-12-20T17:22:49;2020-12-21T04:28:10;Supervisor Ethiopian Birr withdrawal;vortals District Won;../fake-data/blob/hipster.png;image/png;2020-12-20T18:46:53
10;MALE;(964) 505-7556 x77325;false;2020-12-20T11:12:52;2020-12-21T09:29:45;reboot;Personal Loan Account Frozen;../fake-data/blob/hipster.png;image/png;2020-12-20T11:33:09
